Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1305.2494.txt;58;11048;11048;1395;856
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1305.4732.txt;11;1932;1932;649;460
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1305.4874.txt;36;6696;6696;1179;726
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1305.5592.txt;32;6221;6221;865;531
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1305.5670.txt;29;4582;4582;1290;812
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1305.6431.txt;40;7968;7968;1299;825
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1305.7514.txt;11;2123;2123;573;371
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.0760.txt;56;9135;9135;1810;1081
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.1167.txt;30;5894;5894;1022;636
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.1595.txt;64;12870;12870;1117;695
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.2476.txt;54;9639;9639;1659;1010
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.2595.txt;49;9406;9406;1253;775
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.3261.txt;38;6366;6366;1394;921
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.3726.txt;74;14254;14254;1510;854
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.3875.txt;23;3958;3958;892;559
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.4664.txt;20;3739;3739;810;506
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.5111.txt;40;7417;7417;1160;700
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.5585.txt;34;7123;7123;1262;813
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.5720.txt;21;4032;4032;802;512
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.6109.txt;105;18425;18425;1556;879
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1306.6458.txt;73;11750;11750;1992;1270
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.0426.txt;66;10978;10978;1957;1159
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.0449.txt;363;61638;61638;3725;1995
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.2035.txt;45;8396;8396;1133;650
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.2559.txt;42;8224;8224;1200;720
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.2783.txt;69;12231;12231;1643;994
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.2968.txt;474;88068;88068;3778;2023
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.3142.txt;25;5283;5283;832;516
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.3544.txt;36;6873;6873;975;551
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.4062.txt;39;6721;6721;1428;889
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.4355.txt;77;15820;15820;1509;902
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.5001.txt;25;4840;4840;917;575
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.6033.txt;18;3187;3187;865;530
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.6864.txt;40;7450;7450;1507;981
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.7050.txt;28;4525;4525;1057;635
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.7087.txt;54;11020;11020;1157;692
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.7430.txt;70;14391;14391;1386;870
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1307.8371.txt;47;8853;8853;1453;918
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1308.0497.txt;9;1601;1601;442;258
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1308.0776.txt;153;29715;29715;1830;989
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1308.0801.txt;17;3453;3453;692;431
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1308.1391.txt;69;13332;13332;1388;847
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1308.1603.txt;9;1590;1590;497;317
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1308.3987.txt;46;9690;9690;1052;653
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1308.4201.txt;39;7156;7156;1108;684
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1308.4273.txt;32;6100;6100;1107;715
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1308.5146.txt;59;11281;11280;1611;988
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1308.6702.txt;47;8821;8821;1435;890
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.0671.txt;28;4889;4889;1207;785
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.2348.txt;19;3245;3245;708;423
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.3014.txt;26;5529;5529;1064;677
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.3699.txt;28;5333;5333;1037;665
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.3701.txt;77;15064;15064;1680;994
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.3730.txt;20;3386;3386;806;460
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.4958.txt;118;23368;23368;1674;963
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.5310.txt;74;13887;13887;1644;991
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.5568.txt;31;5558;5558;1547;1031
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.6610.txt;86;15301;15301;1627;921
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.6838.txt;31;5705;5705;1045;694
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1309.6927.txt;19;3785;3785;858;538
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.0441.txt;20;3384;3384;805;497
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.0833.txt;50;9578;9578;1078;661
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.1250.txt;15;2677;2677;743;493
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.1861.txt;83;14675;14675;1856;1076
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.2728.txt;94;21748;21748;1811;1180
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.3389.txt;25;4465;4465;1199;837
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.4345.txt;52;9458;9458;1315;797
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.4349.txt;25;4828;4828;981;584
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.5251.txt;49;8612;8612;1444;908
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.6324.txt;75;15739;15739;1581;949
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.6398.txt;22;4169;4169;826;501
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.8097.txt;34;5969;5969;1260;813
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1310.8121.txt;16;2683;2683;635;396
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.0320.txt;63;11625;11625;1459;881
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.0913.txt;87;17207;17207;1807;1101
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.1339.txt;20;4005;4005;895;568
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.2828.txt;77;14109;14109;1769;1057
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.2970.txt;50;9340;9340;1354;827
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.3158.txt;103;19896;19896;1689;982
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.3414.txt;65;10966;10966;1804;1011
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.4257.txt;30;5621;5621;1030;660
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.4766.txt;34;6691;6691;855;490
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.4821.txt;98;18236;18236;1914;1132
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.6126.txt;9;1681;1681;431;262
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1311.6876.txt;44;7757;7757;1298;831
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.0049.txt;80;13021;13021;2215;1330
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.0233.txt;15;3015;3015;643;404
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.0461.txt;90;15682;15682;2545;1417
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.1001.txt;48;9136;9136;1038;612
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.1277.txt;171;32321;32321;2537;1517
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.1529.txt;48;8363;8363;1054;697
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.1559.txt;40;7822;7822;999;624
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.1664.txt;65;11165;11165;1570;937
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.2048.txt;50;8546;8546;2035;1330
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.2226.txt;13;2438;2438;541;352
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.2674.txt;49;9071;9071;1453;898
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.3614.txt;49;9121;9121;1081;685
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.3748.txt;38;6817;6817;1140;720
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.3876.txt;36;6485;6485;1040;602
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.4510.txt;32;6323;6323;976;615
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1312.6809.txt;19;3002;3002;1005;687
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.1061.txt;79;14117;14117;1882;1151
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.1140.txt;25;5117;5117;778;469
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.1333.txt;10;1596;1596;482;321
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.1671.txt;43;7782;7782;1315;817
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.1861.txt;23;4282;4282;1039;670
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.2411.txt;94;16731;16731;2061;1329
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.3580.txt;24;4578;4578;828;508
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.3667.txt;30;5254;5254;979;609
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.5277.txt;131;25947;25947;2375;1418
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.5791.txt;7;1103;1103;512;345
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.6312.txt;93;16832;16832;2354;1363
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.6681.txt;50;9714;9714;1204;759
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.7860.txt;27;5078;5078;889;532
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1401.8219.txt;24;4317;4317;902;569
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.0485.txt;52;10991;10991;1227;754
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.1526.txt;40;7123;7123;1335;822
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.1607.txt;17;3411;3411;679;411
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.1794.txt;11;1579;1579;592;387
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.2016.txt;31;5412;5412;1124;688
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.2760.txt;79;15409;15409;1292;764
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.3175.txt;12;2286;2286;561;353
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.3210.txt;38;7456;7456;1242;773
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.3329.txt;67;12039;12039;1746;1069
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.3427.txt;16;2710;2710;878;586
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.3631.txt;52;9381;9381;1227;746
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.4178.txt;64;12201;12201;1413;846
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.4327.txt;26;4823;4823;958;574
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.4338.txt;25;5034;5034;984;627
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.5208.txt;29;6013;6013;1004;662
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.5481.txt;73;13162;13162;2105;1304
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.6208.txt;27;4535;4535;1258;782
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.6787.txt;35;6562;6562;1293;839
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.6964.txt;34;6084;6084;1339;886
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1402.7242.txt;23;5006;5006;689;428
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.0505.txt;104;20219;20219;2307;1438
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.0734.txt;33;5719;5719;1183;743
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.1080.txt;67;11548;11548;1820;1008
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.1142.txt;55;10051;10051;1675;1008
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.1639.txt;51;9162;9162;1669;1014
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.1642.txt;61;11736;11736;1641;974
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.2975.txt;89;18229;18229;1565;934
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.3772.txt;92;18418;18418;1387;807
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.4143.txt;15;2787;2787;606;370
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.4539.txt;6;1277;1277;533;351
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.4622.txt;36;7226;7226;1105;670
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.4861.txt;37;6810;6810;1181;728
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.5361.txt;37;6380;6380;1519;977
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.5543.txt;26;4435;4435;953;593
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.5715.txt;58;9812;9812;1514;911
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1403.6322.txt;19;3156;3156;872;544
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.1008.txt;31;6213;6213;991;637
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.1864.txt;29;5288;5288;1044;683
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.2329.txt;82;15832;15832;1810;1070
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.2458.txt;30;5439;5439;1178;744
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.2743.txt;56;11775;11775;1188;728
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.3056.txt;16;2645;2645;939;666
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.3186.txt;42;7575;7575;1485;910
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.3311.txt;30;6120;6120;939;587
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.3368.txt;28;5331;5331;1077;692
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.3442.txt;63;11932;11932;1484;883
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.3626.txt;22;3863;3863;917;563
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.5029.txt;66;11682;11682;1596;941
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.6898.txt;57;10005;10005;1515;930
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1404.7325.txt;64;13442;13442;980;567
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.0149.txt;18;3778;3778;717;458
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.0637.txt;62;10702;10702;2101;1311
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.0713.txt;47;9639;9639;515;324
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.0718.txt;60;12817;12817;1090;672
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.0854.txt;67;12864;12864;1627;957
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.0982.txt;29;5338;5338;850;524
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.1481.txt;33;6259;6259;955;616
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.1906.txt;19;3672;3672;776;488
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.2690.txt;26;4545;4545;911;565
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.4472.txt;37;7168;7168;1049;665
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.4713.txt;61;11218;11218;896;544
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.6397.txt;7;1340;1340;410;281
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.7264.txt;119;20480;20480;2227;1305
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1405.7709.txt;58;10358;10358;1512;944
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.0263.txt;21;4175;4175;727;461
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.0342.txt;30;5746;5746;1221;770
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.0641.txt;133;25463;25463;1800;1029
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.1758.txt;54;10754;10754;1383;834
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.1949.txt;37;7008;7008;952;603
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.2534.txt;26;4532;4532;1047;666
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.2587.txt;126;23843;23843;2874;1825
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.3065.txt;65;12884;12884;1430;896
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.4060.txt;65;13430;13430;1338;781
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.4426.txt;32;5845;5845;843;523
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.5688.txt;45;7017;7017;1627;997
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.5943.txt;77;15688;15688;1695;1032
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.6145.txt;99;19453;19453;2122;1275
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.6924.txt;11;2154;2154;453;283
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1406.7373.txt;91;16894;16894;1690;1002
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.0208.txt;22;4313;4313;1041;691
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.0756.txt;27;4709;4709;1047;646
